job_id,job_name
27fd4a51-f5a4-11ef-a337-0242ac120005,标题：广州外贸跟单员
27fd4eac-f5a4-11ef-a337-0242ac120005,毫米波雷达信号处理工程师（点云算法）
27fd622d-f5a4-11ef-a337-0242ac120005,研发工程师（25届）
27fd6495-f5a4-11ef-a337-0242ac120005,标题：市场运营
27fd676c-f5a4-11ef-a337-0242ac120005,技工
27fd6c1f-f5a4-11ef-a337-0242ac120005,车间技工/技术员
27fd6e56-f5a4-11ef-a337-0242ac120005,生产技术员
27fd706e-f5a4-11ef-a337-0242ac120005,储备主管
27fd76b1-f5a4-11ef-a337-0242ac120005,标题：高中语文老师
27fd7fbd-f5a4-11ef-a337-0242ac120005,简章
27fd8c6c-f5a4-11ef-a337-0242ac120005,标题：道法教师（接受顶岗实习生）
27fd9287-f5a4-11ef-a337-0242ac120005,回收技术员
27fd9708-f5a4-11ef-a337-0242ac120005,文员
27fd9a6e-f5a4-11ef-a337-0242ac120005,实验室技术员——虚位以待，职等你来
27fda43a-f5a4-11ef-a337-0242ac120005,储备干部
27fda8f5-f5a4-11ef-a337-0242ac120005,生产操作工
27fdb28c-f5a4-11ef-a337-0242ac120005,助理模具设计/项目工程师
27fdbb30-f5a4-11ef-a337-0242ac120005,电子研发助理工程师
27fdc07f-f5a4-11ef-a337-0242ac120005,国际专员
27fdcb24-f5a4-11ef-a337-0242ac120005,标题：行政会议接待
27fdd406-f5a4-11ef-a337-0242ac120005,销售内勤
27fddea7-f5a4-11ef-a337-0242ac120005,外贸业务员
27fde850-f5a4-11ef-a337-0242ac120005,生产技能岗位
27fdec3c-f5a4-11ef-a337-0242ac120005,销售总监
27fdf93e-f5a4-11ef-a337-0242ac120005,心理咨询师
27fe006f-f5a4-11ef-a337-0242ac120005,核电运行/维修/技术类岗位，抽水蓄能类岗位
27fe055a-f5a4-11ef-a337-0242ac120005,航海工程系教师
27fe0bb7-f5a4-11ef-a337-0242ac120005,轮机工程系教师
27fe1605-f5a4-11ef-a337-0242ac120005,建筑工程技术教师
27fe1ad5-f5a4-11ef-a337-0242ac120005,人事专员
27fe20ed-f5a4-11ef-a337-0242ac120005,公共体育部教师
27fe25cc-f5a4-11ef-a337-0242ac120005,输电电气设计
27fe2bd1-f5a4-11ef-a337-0242ac120005,信息技术系教师
27fe30b9-f5a4-11ef-a337-0242ac120005,网络安全技术科主管
27fe3a48-f5a4-11ef-a337-0242ac120005,标题：运维工程师
27fe43ed-f5a4-11ef-a337-0242ac120005,航空器动力系教师
27fe5412-f5a4-11ef-a337-0242ac120005,航空机电系教师
27fe591d-f5a4-11ef-a337-0242ac120005,电话邀约员
27fe5d36-f5a4-11ef-a337-0242ac120005,中医医生
27fe623b-f5a4-11ef-a337-0242ac120005,辅导员
27fe6725-f5a4-11ef-a337-0242ac120005,护士
27fe6b3f-f5a4-11ef-a337-0242ac120005,储备干部
27fe7041-f5a4-11ef-a337-0242ac120005,新能源汽车技术系教师
27fe7513-f5a4-11ef-a337-0242ac120005,管道技术员
27fe7b48-f5a4-11ef-a337-0242ac120005,中移在线10086热线客服专员
27fe829c-f5a4-11ef-a337-0242ac120005,标题：项目经理
27fe8861-f5a4-11ef-a337-0242ac120005,新媒体运营
27fe91cb-f5a4-11ef-a337-0242ac120005,会计
27fe9c55-f5a4-11ef-a337-0242ac120005,标题：电子商务专业实习生
27fea795-f5a4-11ef-a337-0242ac120005,浆站财务BP
27feac63-f5a4-11ef-a337-0242ac120005,销售经理
27feb280-f5a4-11ef-a337-0242ac120005,百度（绵阳）营销顾问 六险一金
27feb6d9-f5a4-11ef-a337-0242ac120005,百度（眉山）营销顾问 六险一金
27feff5d-f5a4-11ef-a337-0242ac120005,百度（德阳）营销顾问 六险一金
27ff0788-f5a4-11ef-a337-0242ac120005,标题：百度网络营销顾问
27ff0d94-f5a4-11ef-a337-0242ac120005,百度网络营销顾问（宜宾）
27ff1442-f5a4-11ef-a337-0242ac120005,广告投放   销售专员+六险一金
27ff1911-f5a4-11ef-a337-0242ac120005,内江百度推广+六险一金
27ff23fa-f5a4-11ef-a337-0242ac120005,研发员
27ff3972-f5a4-11ef-a337-0242ac120005,中控员
27ff41c1-f5a4-11ef-a337-0242ac120005,市场营销部总监助理
27ff5e20-f5a4-11ef-a337-0242ac120005,业务员
27ff65e3-f5a4-11ef-a337-0242ac120005,管培生-生产主管
27ff7a38-f5a4-11ef-a337-0242ac120005,管培生-食品/饮料研发
27ff7f04-f5a4-11ef-a337-0242ac120005,讲解员
27ff92e5-f5a4-11ef-a337-0242ac120005,财务管培生
280093e7-f5a4-11ef-a337-0242ac120005,家装网络顾问
28009bf0-f5a4-11ef-a337-0242ac120005,家装客户经理
2800a065-f5a4-11ef-a337-0242ac120005,工艺工程师
2800a57f-f5a4-11ef-a337-0242ac120005,护理专业教师
2800ae13-f5a4-11ef-a337-0242ac120005,康复治疗技术专业教师
2800b2e9-f5a4-11ef-a337-0242ac120005,电气/锅炉/热工调试技术员
2800b75c-f5a4-11ef-a337-0242ac120005,资料员，保管员
2800c53f-f5a4-11ef-a337-0242ac120005,实习生-安全/健康/环境
2800c98a-f5a4-11ef-a337-0242ac120005,算法工程师
2800d295-f5a4-11ef-a337-0242ac120005,销售专员
2800d73b-f5a4-11ef-a337-0242ac120005,实习生-食品质量
2800ed1f-f5a4-11ef-a337-0242ac120005,机械设计
2800f601-f5a4-11ef-a337-0242ac120005,车险客户服务岗
280102e1-f5a4-11ef-a337-0242ac120005,技术支持
28010c5e-f5a4-11ef-a337-0242ac120005,标题：高中化学教师
280115e8-f5a4-11ef-a337-0242ac120005,采购助理
28011ea4-f5a4-11ef-a337-0242ac120005,茶艺管培生
280122ff-f5a4-11ef-a337-0242ac120005,设备维修员
2801276f-f5a4-11ef-a337-0242ac120005,标题：高中政治教师
2801303c-f5a4-11ef-a337-0242ac120005,标题：实习生
28013586-f5a4-11ef-a337-0242ac120005,跨境电商运营
28013b1b-f5a4-11ef-a337-0242ac120005,管理培训生（生产、质量、设备）
28013fc2-f5a4-11ef-a337-0242ac120005,模具学徒工
28014419-f5a4-11ef-a337-0242ac120005,EDM机台操作员
2801494f-f5a4-11ef-a337-0242ac120005,CNC编程工程师
28015516-f5a4-11ef-a337-0242ac120005,软件工程师
2801586d-f5a4-11ef-a337-0242ac120005,采购助理
28015e72-f5a4-11ef-a337-0242ac120005,环保助理工程师
280166b8-f5a4-11ef-a337-0242ac120005,公证员助理
28016b3c-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（长沙）
28016f92-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（长春）
28017392-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（西安）
2801778d-f5a4-11ef-a337-0242ac120005,标题：雇主品牌策划助理（南京实习）
28017b90-f5a4-11ef-a337-0242ac120005,标题：项目经理助理（英语类）
28017faa-f5a4-11ef-a337-0242ac120005,标题：项目经理助理（实习生-武汉）
280183cf-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（天津）
280188a1-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（青岛）
28018cd9-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（合肥）
280190eb-f5a4-11ef-a337-0242ac120005,标题：雇主品牌策划助理（实习生-西安）
28019429-f5a4-11ef-a337-0242ac120005,标题：项目经理助理（天津）
28019830-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（武汉策划方向）
28019c73-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（大连）
2801a08b-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（福州）
2801a47b-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（郑州）
2801a86b-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（天津）
2801ad1b-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（采购）
2801b13f-f5a4-11ef-a337-0242ac120005,标题：项目经理助理（实习生-成都）
2801b518-f5a4-11ef-a337-0242ac120005,标题：项目执行助理（长春）
2801b912-f5a4-11ef-a337-0242ac120005,标题：项目支持助理（北京）
2801c40f-f5a4-11ef-a337-0242ac120005,标题：产品验证实习生-模拟电路设计工具
2801cb56-f5a4-11ef-a337-0242ac120005,标题：AI全栈工程实习生
2801cfdf-f5a4-11ef-a337-0242ac120005,标题：校园大使招募（深圳大学/南方科技大学）
2801ddd9-f5a4-11ef-a337-0242ac120005,标题：DFT实习生
2801e522-f5a4-11ef-a337-0242ac120005,标题：新媒体专员，小白可带，包食宿，公司福利齐
2801ebe9-f5a4-11ef-a337-0242ac120005,标题：国际合作拓展实习生
2801eef3-f5a4-11ef-a337-0242ac120005,标题：上市公司实习生（5000底薪＋五险一金）
280204cf-f5a4-11ef-a337-0242ac120005,标题：实习生/应届生
28020934-f5a4-11ef-a337-0242ac120005,标题：跨境电商运营实习生（双休）
28020d7a-f5a4-11ef-a337-0242ac120005,标题：视觉设计-实习
280211a5-f5a4-11ef-a337-0242ac120005,标题：核算专员
28021c47-f5a4-11ef-a337-0242ac120005,标题：内容运营实习生(J82579)
280225bc-f5a4-11ef-a337-0242ac120005,标题：国际业务中心HRBP实习生
280230da-f5a4-11ef-a337-0242ac120005,标题：平面设计实习生（高新区+周末双休）
280233e2-f5a4-11ef-a337-0242ac120005,标题：渗透实习生-南京
28024b2b-f5a4-11ef-a337-0242ac120005,标题：财务人事专员
2802590c-f5a4-11ef-a337-0242ac120005,标题：设计师实习生(J10241)
28025e4a-f5a4-11ef-a337-0242ac120005,标题：2月即将结束啦 还在找工作吗
280261b3-f5a4-11ef-a337-0242ac120005,标题：行政前台 纯坐班
280269c4-f5a4-11ef-a337-0242ac120005,标题：电商运营助理（可接受实习）
28026d91-f5a4-11ef-a337-0242ac120005,标题：图像标注助理（本周到岗/2周/实习证明)
280276c4-f5a4-11ef-a337-0242ac120005,标题：国企保底4200招实习生+包住宿
28027ad2-f5a4-11ef-a337-0242ac120005,标题：题库实习生（可线上办公）
28027ef7-f5a4-11ef-a337-0242ac120005,标题：项目管培生
28028785-f5a4-11ef-a337-0242ac120005,标题：IMT（国际管培生）
28028bef-f5a4-11ef-a337-0242ac120005,标题：内容审核实习生
2802903d-f5a4-11ef-a337-0242ac120005,标题：测试实习生（26届）
2802948d-f5a4-11ef-a337-0242ac120005,标题：【Laptop业务】软件测试实习生
28029c9e-f5a4-11ef-a337-0242ac120005,标题：股票市场研究助理（实习生）
2802a4c2-f5a4-11ef-a337-0242ac120005,标题：伊利2025年校招-人力专训生（冷饮）
2802ab0a-f5a4-11ef-a337-0242ac120005,标题：用户运营实习生 (MJ003387)
2802aef7-f5a4-11ef-a337-0242ac120005,标题：礼仪接待（双休）
2802b346-f5a4-11ef-a337-0242ac120005,实习生——淘天集团
2802bf8b-f5a4-11ef-a337-0242ac120005,标题：金融社群运营实习生
2802c3ee-f5a4-11ef-a337-0242ac120005,标题：国内电商客服
2802c82b-f5a4-11ef-a337-0242ac120005,标题：实习生文员+有转正机会
2802e0b7-f5a4-11ef-a337-0242ac120005,标题：机器人测试开发工程师
2802e542-f5a4-11ef-a337-0242ac120005,标题：【校招】业务bp
2802f05d-f5a4-11ef-a337-0242ac120005,标题：产品设计实习生-抖音
2803012d-f5a4-11ef-a337-0242ac120005,标题：大模型推理加速工程师-有北京落户机会
2803098e-f5a4-11ef-a337-0242ac120005,标题：数据标注/AI训练师实习生
28030d66-f5a4-11ef-a337-0242ac120005,标题：储备项目经理（实施工程师）（J15091）
2803158e-f5a4-11ef-a337-0242ac120005,安检护卫保障部
28031eb3-f5a4-11ef-a337-0242ac120005,客运值机专员
28032367-f5a4-11ef-a337-0242ac120005,项目助理
280327ae-f5a4-11ef-a337-0242ac120005,项目助理
28032bcc-f5a4-11ef-a337-0242ac120005,项目助理
28033000-f5a4-11ef-a337-0242ac120005,检验员（理化检测）
280335f2-f5a4-11ef-a337-0242ac120005,公告
28033eca-f5a4-11ef-a337-0242ac120005,公告
28034392-f5a4-11ef-a337-0242ac120005,寒假工月8K成都跑外卖
28034c9e-f5a4-11ef-a337-0242ac120005,焊接 数控 模具 机电理工类实习生 周结算 月结清 签署实习证明
28035374-f5a4-11ef-a337-0242ac120005,温州班课教师
28035a20-f5a4-11ef-a337-0242ac120005,标题：业务管培生（25届春招）
2803660e-f5a4-11ef-a337-0242ac120005,标题：少儿编程学习顾问（专业不限）
28036acf-f5a4-11ef-a337-0242ac120005,课程顾问
28036f4f-f5a4-11ef-a337-0242ac120005,标题：学习顾问
2803752b-f5a4-11ef-a337-0242ac120005,辅导老师
28037a14-f5a4-11ef-a337-0242ac120005,综合岗（在家在校就可实习）
280383c1-f5a4-11ef-a337-0242ac120005,会计
28038b24-f5a4-11ef-a337-0242ac120005,标题：会服助理
28039957-f5a4-11ef-a337-0242ac120005,前台
2803a183-f5a4-11ef-a337-0242ac120005,继电保护助理工程师
2803a546-f5a4-11ef-a337-0242ac120005,汽车总装装配实习生
2803ac48-f5a4-11ef-a337-0242ac120005,营销岗-应届本科毕业生（链家总部直聘）
2803b195-f5a4-11ef-a337-0242ac120005,智能化平台操作人员
2803b6bf-f5a4-11ef-a337-0242ac120005,提供住宿接受应届生银行客服专员
2803c904-f5a4-11ef-a337-0242ac120005,工业机器人调试工程师
2803ce22-f5a4-11ef-a337-0242ac120005,申论讲师
2803d3d6-f5a4-11ef-a337-0242ac120005,行测理讲师
2803d98b-f5a4-11ef-a337-0242ac120005,网络营销专员，五险一金
2803de06-f5a4-11ef-a337-0242ac120005,综合岗2人
2803e27d-f5a4-11ef-a337-0242ac120005,小游戏测试助理
2803ea42-f5a4-11ef-a337-0242ac120005,标题：文员（文案策划方向）
2803ee58-f5a4-11ef-a337-0242ac120005,助理（策划、采编方向
2803f4a6-f5a4-11ef-a337-0242ac120005,标题：行政文员
2803fa5d-f5a4-11ef-a337-0242ac120005,标题：2025届营销培训生
28040065-f5a4-11ef-a337-0242ac120005,营销拓展
2804050a-f5a4-11ef-a337-0242ac120005,策划采编
28041577-f5a4-11ef-a337-0242ac120005,标题：高分子材料技术专家
28042ae6-f5a4-11ef-a337-0242ac120005,标题：营养管培生（营养专家方向）
28042f26-f5a4-11ef-a337-0242ac120005,标题：畜牧管培生（牧场管理方向）
2804435b-f5a4-11ef-a337-0242ac120005,公告
2804501d-f5a4-11ef-a337-0242ac120005,标题：银行面审经理助理
2804547a-f5a4-11ef-a337-0242ac120005,标题：国企银行 长白班 入职五险一金双休
280458c0-f5a4-11ef-a337-0242ac120005,标题：银行客户经理（月薪三万）
280462bb-f5a4-11ef-a337-0242ac120005,标题：银行资料面审员
28046a41-f5a4-11ef-a337-0242ac120005,标题：BIM机电工程师助理（数字科技公司）
28047789-f5a4-11ef-a337-0242ac120005,标题：麻醉医生
28048f8f-f5a4-11ef-a337-0242ac120005,标题：大兴安岭分公司新林分公司政企行业客户经理
28049498-f5a4-11ef-a337-0242ac120005,标题：大兴安岭分公司政企事业部政企行业客户经理
28049aea-f5a4-11ef-a337-0242ac120005,标题：大兴安岭分公司呼玛分公司政企行业客户经理
2804a25e-f5a4-11ef-a337-0242ac120005,标题：黑河分公司逊克分公司政企客户经理
2804a5b6-f5a4-11ef-a337-0242ac120005,标题：黑河分公司政企事业部政企客户经理
2804aaa9-f5a4-11ef-a337-0242ac120005,标题：黑河分公司孙吴分公司政企客户经理
2804ada5-f5a4-11ef-a337-0242ac120005,标题：黑河分公司逊克分公司专线及云网业务支撑
2804b28d-f5a4-11ef-a337-0242ac120005,标题：黑河分公司市场经营部大数据管理
2804b69f-f5a4-11ef-a337-0242ac120005,标题：鹤岗分公司市场经营部大数据管理
2804bb97-f5a4-11ef-a337-0242ac120005,标题：七台河分公司网络部网络优化中心无线网运行维护
2804bfee-f5a4-11ef-a337-0242ac120005,标题：七台河分公司网络部网络维护中心传输网运行维护
2804c81f-f5a4-11ef-a337-0242ac120005,标题：伊春分公司友好区分公司政企客户经理
2804cc0b-f5a4-11ef-a337-0242ac120005,标题：伊春分公司金林区分公司网格经理
2804d03e-f5a4-11ef-a337-0242ac120005,标题：伊春分公司汤旺县分公司政企客户经理
2804d437-f5a4-11ef-a337-0242ac120005,标题：伊春分公司政企事业部政企行业客户经理
2804d93a-f5a4-11ef-a337-0242ac120005,标题：伊春分公司政企事业部政企业务管理
2804df45-f5a4-11ef-a337-0242ac120005,标题：伊春分公司市场经营部大数据管理
2804e42e-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司饶河分公司政企客户经理
2804e89e-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司友谊分公司政企客户经理
2804ee0c-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司宝清分公司政企客户经理
2804f258-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司网络部家客业务支撑
2804f6d0-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司政企事业部政企行业客户经理
2804fb37-f5a4-11ef-a337-0242ac120005,标题：双鸭山分公司市场经营部大数据管理
2805029f-f5a4-11ef-a337-0242ac120005,标题：鸡西分公司城子河区分公司政企客户经理
28050824-f5a4-11ef-a337-0242ac120005,标题：鸡西分公司梨树区分公司政企客户经理
28050c77-f5a4-11ef-a337-0242ac120005,标题：鸡西分公司市场经营部大数据管理
280510ab-f5a4-11ef-a337-0242ac120005,标题：鸡西分公司网络部客户响应中心业务支持
2805179b-f5a4-11ef-a337-0242ac120005,标题：绥化分公司政企事业部重要客户中心政企行业客户经理
28051a83-f5a4-11ef-a337-0242ac120005,标题：绥化分公司绥化场经营部大数据管理
28052198-f5a4-11ef-a337-0242ac120005,标题：证券/期货研究员
28052cb3-f5a4-11ef-a337-0242ac120005,标题：ios软件开发工程师
280531dd-f5a4-11ef-a337-0242ac120005,标题：安卓软件开发工程师
28053964-f5a4-11ef-a337-0242ac120005,标题：大庆分公司杜蒙分公司政企客户部政企客户经理
2805440c-f5a4-11ef-a337-0242ac120005,标题：机电安装工程师
28054844-f5a4-11ef-a337-0242ac120005,标题：俄语商务专员
28055031-f5a4-11ef-a337-0242ac120005,标题：大庆分公司综合部普法管理
